OUT X,OUT Y
0,1.799999952828081
3.33971451707411e-13,1.811136143604801
6.066780770645321e-13,1.820169296843464
1.152091327778774e-12,1.83838608024199
2.242917829207259e-12,1.873775270908701
3.62145891460363e-12,1.900463052242657
5.000000000000001e-12,1.891800635114038
5.233744367173236e-12,1.881360374777391
5.627720794025881e-12,1.863736919320846
5.972601608635665e-12,1.848292982668816
6.662363237855233e-12,1.817365464487237
8.041886496294369e-12,1.755368350560963
1.080093301317264e-11,1.630898763473619
1.631902604692918e-11,1.381202504484705
2.735521211444227e-11,0.8935710510125251
3.764418236858641e-11,0.4969321001299041
4.613982202510721e-11,0.2654182370941213
5.35303354052373e-11,0.1451129454291712
6.455437815259798e-11,0.05407864795274047
7.239233934632499e-11,0.02670593539387437
8.107810669536243e-11,0.0120210775159468
9.06453869194888e-11,0.004942996480355923
1.034347671450485e-10,0.00138641556922958
1.199537712765458e-10,0.0002122486296902521
1.435032002177712e-10,-1.30711197669775e-05
1.787139146298705e-10,-5.130355713823739e-07
2.418396146800783e-10,-3.107718680177458e-07
3.218396146800783e-10,1.809978670680773e-07
4.018396146800784e-10,-9.513810481181045e-08
4.534198073400392e-10,4.248402441814415e-08
5.05e-10,-1.178075406234771e-08
5.060124462265593e-10,-0.01900721649031923
5.071038207899054e-10,-0.04497035861754328
5.085519103949527e-10,-0.07603719812603163
5.1e-10,-0.08829498791897993
5.102396499648463e-10,-0.08233669295347654
5.10646041942732e-10,-0.07216641802482557
5.110012605011769e-10,-0.06323359231083664
5.117116976180665e-10,-0.04527383584328303
5.131325718518459e-10,-0.009040794546494159
5.159743203194046e-10,0.06431153206483677
5.216578172545219e-10,0.2128159524395815
5.324606157461655e-10,0.4951315611171395
5.458366341166962e-10,0.8331718781670658
5.614380675851972e-10,1.183206128557768
5.757275456061081e-10,1.42810039483816
5.892791964391789e-10,1.580390352970064
6.071610690296716e-10,1.695473684955368
6.223848591239714e-10,1.745233802758734
6.378942133386644e-10,1.771946600305371
6.548713983555631e-10,1.786650932392671
6.757437745126528e-10,1.794792936909181
7.017942106548401e-10,1.798489677308328
7.360018819354009e-10,1.79976458434325
7.83067801444934e-10,1.800005274316286
8.545613395663088e-10,1.800001314573873
9.345613395663087e-10,1.799999657620258
1e-09,1.799999999448113
1.00112965362219e-09,1.837091832695994
1.002303711164592e-09,1.874837466594196
1.003651855582296e-09,1.900052261595352
1.005e-09,1.891156604204
1.005232423068395e-09,1.880774826639229
1.005621070452416e-09,1.863389238067864
1.005961552773492e-09,1.848142050915787
1.006642517415644e-09,1.817609047750702
1.008004446699947e-09,1.756404423916868
1.010728305268555e-09,1.633530052495886
1.016176022405769e-09,1.3870124029036
1.027071456680199e-09,0.90499547468857
1.037393593149137e-09,0.5047635976350645
1.045929412844423e-09,0.2694764285307132
1.053317835185344e-09,0.1475097335086097
1.063941846130849e-09,0.05733279821775265
1.071807059897597e-09,0.02827108407796072
1.080403070959193e-09,0.01285702150086524
1.089914566110472e-09,0.005318599190046095
1.102444760743761e-09,0.001543325755626339
1.118633039371508e-09,0.0002523633510686544
1.141512176608757e-09,-1.029645461419343e-05
1.175562133602026e-09,-1.668066289896991e-06
1.235615703741364e-09,9.415574471374581e-08
1.315615703741364e-09,-4.742020466595232e-08
1.395615703741364e-09,3.19406670260038e-08
1.450307851870682e-09,-8.445838019091001e-09
1.505e-09,8.212284772883067e-09
1.50603991623678e-09,-0.01947118256209937
1.507150943602476e-09,-0.04603809705410212
1.508575471801238e-09,-0.07633674125981271
1.51e-09,-0.08824654884041809
1.510239079969407e-09,-0.08230212901057624
1.510641464881568e-09,-0.07223219988451329
1.510993391799112e-09,-0.06338254766459309
1.511697245634198e-09,-0.04559072807289854
1.513104953304371e-09,-0.009698370197455347
1.515920368644718e-09,0.06296159173477717
1.521551199325411e-09,0.2100713561455159
1.532324448872626e-09,0.4916531855400191
1.545666964740423e-09,0.8290781950371677
1.561256678293418e-09,1.179605238683355
1.575571410333606e-09,1.425941186143238
1.589114878087459e-09,1.578966461740747
1.606825008441608e-09,1.693929655257999
1.622104853777324e-09,1.744550183432161
1.637566621045566e-09,1.771528571657853
1.654527069096906e-09,1.786440224139699
1.675296312547041e-09,1.7946817197875
1.701235710105984e-09,1.798446799211422
1.73523283032356e-09,1.799752950418676
1.781978014555507e-09,1.800004471946963
1.852792533144616e-09,1.800001576844078
1.932792533144616e-09,1.799999592923637
2e-09,1.800000014354526
2.001143749217368e-09,1.837549487151024
2.002327553000003e-09,1.875482678187289
2.003663776500001e-09,1.900112513198851
2.005e-09,1.891133655199921
2.005232103497791e-09,1.880766101681987
2.005618676066763e-09,1.86347335866981
2.005957452251774e-09,1.848302679481432
2.006635004621796e-09,1.81792307103233
2.007990109361841e-09,1.75702646150032
2.01070031884193e-09,1.634771816589873
2.016120737802108e-09,1.38948753471769
2.026961575722464e-09,0.9096466176802962
2.037297521259137e-09,0.5079526714673008
2.04585046823345e-09,0.271115506670736
2.053238427027551e-09,0.1484743319193285
2.063718764341832e-09,0.05857728773455002
2.071596300750359e-09,0.02886253821459354
2.08015926204131e-09,0.0131752935890115
2.089650092030297e-09,0.005462391347380408
2.102086614579652e-09,0.001604368707738906
2.118156082370201e-09,0.0002684117816949315
2.140796186204835e-09,-8.99065615195694e-06
2.17443403214063e-09,-2.133774586346535e-06
2.233414474782754e-09,2.467842541615823e-07
2.313414474782754e-09,-1.325911565171313e-07
2.393414474782754e-09,8.01376871118434e-08
2.449207237391377e-09,-2.875487247288635e-08
2.505e-09,1.70629745778011e-08
2.506049459528053e-09,-0.01965858220964297
2.507167273790709e-09,-0.04642942084088623
2.508583636895354e-09,-0.07645852746882191
2.51e-09,-0.08824845699227955
2.510238886994075e-09,-0.08230879186577332
2.510639879170591e-09,-0.07227382777054828
2.510990662128189e-09,-0.06345314943443099
2.511692228043385e-09,-0.04571981182451871
2.513095359873777e-09,-0.009946033456267099
2.515901623534561e-09,0.06247308464388376
2.521514150856129e-09,0.2090979358203457
2.532276574524053e-09,0.4904102507330864
2.5456069885705e-09,0.827611291813538
2.561192337395066e-09,1.17830990301801
2.57551616446511e-09,1.425164027009525
2.589056772613514e-09,1.578454274160912
2.606707343978608e-09,1.693381492299697
2.62200786359802e-09,1.744310280449536
2.637453031906748e-09,1.771381609930611
2.654407651517815e-09,1.786366103755121
2.675140862359166e-09,1.794642431944723
2.701041737251421e-09,1.798431606197708
2.734965808353824e-09,1.799748794825864
2.781599918512353e-09,1.800004173458684
2.852179631998911e-09,1.800001670959066
2.932179631998912e-09,1.799999569798898
3e-09,1.800000019994653
